id,reference,prediction,wer,cer,audio_duration
0,elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır,elim adamları panətlərin süsilədə quyrugu ulduzlar uzun zaman elvəl yer panəti ilətokmuştu bu üçün yer panətilindəzi yerandıqlının başadışmaya çalışır,0.6364,0.2244,16.2
1,onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi,onu yirmi yaslarında olduğu bililir bir bir asflamasında bu fazia ve qazanın bir başa işdirəç səlbəsamda düşüncülerim ve dualarım həzə kurbanını nələsiniyyanındadır dədi,0.9545,0.2629,12.24
2,pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər,fuzduqqim edərisi və də nəkvaron əyəkvarasəə bu quşlar yumurta koyabilir və tirannaza vır rekslərqim əkarqəyə varmıştündə qəze bililir,0.7826,0.3487,10.08
3,şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idisonra yağış gəldi amma yağış damcıları o qədər sərt və böyük idi ki dəriyə iynə kimi batırdı sonrası göydən dolu yağdı insanlar təşvişlə və bağıraraq birbirlərinin üstündən keçərək qaçmağa başladılar,şu o başladıqıdan sadece 5dəgə sonra küləyesməyə başladı 1dəgə kesmə müşkülə ençirə tardık sa hatta 7 müşkünülə mətirəydi sonra yalışqəldi ama yalışlığımızlar o qədəl sərtmə böyüklədikə dəriyə inəkimin batorda sonra aslı göydən doluyəqda insanlar təş,0.875,0.4825,27.66
4,maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür,mariyadlanın qaramı qahtların altında daha nazəyik dahalık yerlər naltın nəyisə daha qalın görür,0.7143,0.2062,10.86
5,abşın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu teztez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir,abışın qiyolojı hətmətlər bir olsunın ın astralu qihiyətində və arizon aşı tatının fılakstaf şərə neyilə şəşməl arizonun vəsətlən olan qüləm quşin yəndə inə görəl onların tərimal hərəkətlərə yeri pəyətində ki fayə qədər davalmı tə,0.9783,0.5813,27.96
6,katalon dili metroda müntəzəm olaraq verilən elanların əsas dilidir lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə o cümlədən ispan ingilis fransız ərəb və yapon dillərində verir,katulob dili metrodə müntəzəm olaradıyələn elanlar nəsəstlidir ləqin afdomatlaşdırılmış sistem pannlaşdırılmalış problemlər barədə elanlar hədni dildərdə otribləd ispan indilis fransız ərabə yapın dildərində verir,0.7143,0.1786,19.14
7,körpünün istifadəyə verilişi 2017ci ilin sentyabr ayına yəni braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır,körbünün istvadəyi və ilişi ikrümnoy ettincilin zərinci abraina yeni brazilə görmüynə zarətim məntəqələrnəm işlərni bitirəce və hata põonlardırlır,1.125,0.3803,9.78
8,əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər,əlbəhdə bu annələnin qəyçləndə hini baxımından izahı var ama bu kriçlələn bənəvən olan baxanın qəriçü və məsulda alı səvə bilədə qəşülləbilə,0.6667,0.3493,11.82
9,yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir,yənədə şəndin zonası bu bakımdan bir qədəl təhəkda bilət fungşasına maaləkdir,0.75,0.2632,5.22
10,bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır,bu tapanda həmdə guslə iləklənin tekanmir hakkında təsəbriyən adır,0.9,0.3623,9.66
11,sundarban dünyanın ən böyük sahilyanı manqrov bölgəsidir və sahildən banqladeş və hindistanın içərilərinə doğru 80 km 50 mil uzanır,sundarban dünyanın en böyüsahəliyanın mangurobörgəsidir və sahildən bandıvadır və hindistana inşərlədən doğru siyək silonmətir əllim ilozanır,0.6842,0.3435,10.2
12,o bütün bu şayiələri siyasi boşboğazlıq və axmaqlıq adlandırdı,o bütün bu şahələrisiyasi boş povazləq və ahmalqlə qadlandırqə,0.5556,0.2258,8.34
13,mərasimin italiyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində xüsusilə də polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı,mərnasinin italyanın bir sordicər şərlərdəlində və dünyanın qalanis səsində süsülə də polşalə geniş insan kişilərə tərəfində izləminə süsün həmin yerlərə enişəkildə nəək ekragum varqur açdərluralıdır,0.7037,0.2709,13.2
14,filippinli fotoqraflar kimi uşaqlar və yaşlılar da daxil 6 əsr sərbəst buraxıldı,fülükbirli fatakraflar kimi uşağalar və yaşlılar da daha həyil altı esir sərbəs brəqlə,0.75,0.3625,10.38
15,qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yeməkiçmək və əyləncə təklif edirlər,konaklarar ruh yüksekləyinin korummaq və onların həmin yeri də konaklanmasının təmin etmək üçün onların adədən hususi gemək içmək və elənce təklif edilindir,0.65,0.2162,13.56
16,dünən axşam buenos airesdən 50 km 31 mil məsafədə yerləşən la plata şəhərində hazırki senator və argentinanın birinci xanımı kristina fernandez de kirçner prezidentliyə namizədliyini elan etdi,dünən aşıvın bu en ısairistən 50 km ıtspirmil məsafədə yəlləşəl ləplətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlətlə,0.8889,0.7083,14.16
