id,reference,prediction,wer,cer,audio_duration
0,elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır,elim adamları planetlərin süsilə də quyruqlı ulduzlar uzun zaman əvvəl yer planeti ilə topuştubu üçün yer planetinin ne ziyarandığını başa düşməyə çalışır,0.2727,0.0769,16.2
1,onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi,1020 yaşlarında olduğu bildirlir biber asıqlamasında bu facəvqəzanın birbaşa iştirakçısı olmasam da düşüncülərin və dualarım hadisə qurbanının ailəsinin yanındadır dedir,0.3636,0.0743,12.24
2,pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər,pulcub kimi dərisi və dırnaxlar onu ayaqlara sahib buquşlar yumurta qoyabilir və tiranazavr rexslər kimi iki arx ayaqlarının üstündə gəzə bilirlər,0.4348,0.0789,10.08
3,şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idisonra yağış gəldi amma yağış damcıları o qədər sərt və böyük idi ki dəriyə iynə kimi batırdı sonrası göydən dolu yağdı insanlar təşvişlə və bağıraraq birbirlərinin üstündən keçərək qaçmağa başladılar,şov başladığı dən sadece 5 dəyəqə sonra külləyə esməyə başladı bir dəyəqə keçməmiş külləyin çürət artıq sağda 70 km idi sonra yaqış gəldi amma yaqış damcılar o qədər sərt və böyük idi ki dəriyə iğne kimi batırdı sonrası qöydən doluyaqdı insanlar təşvişlə,0.5625,0.2921,27.66
4,maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür,mari adlanan qaranlı qahtların altında daha naziq dahlıq yerlərin altında isə daha qalan görünür,0.4286,0.0619,10.86
5,abşın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu teztez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir,abuşun geologi xidmətlər bürosunun astrologi həyətindən ve arizona şudatının fluxstaff şəhərində iləşən şimali arizona üniversitetinə nolan qlynkuşingindəlik nə görə onların tərmal hərəkətləri yəgər planetindəki kifaya qədər davamlı temperatureu deyirsiniz dəstəkləyin böyük maharalar dav,0.7174,0.352,27.96
6,katalon dili metroda müntəzəm olaraq verilən elanların əsas dilidir lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə o cümlədən ispan ingilis fransız ərəb və yapon dillərində verir,katolub dili metrada minitəzim olaraq verilən eylənlərin nəsəs dilidır lakin automatılaşdırılmış sistem pənlaşdırılmalış problemlər barədə eylənlər fərqli dillərdə o cübələdən ispan ingiliz fransız ərab və yapan dillərində verilir,0.5,0.1339,19.14
7,körpünün istifadəyə verilişi 2017ci ilin sentyabr ayına yəni braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır,çöribünün istifadəya verilişi 2017ci ebrahimə yəni brasi ilə gömlük nəzarəti məntəgələrinin işlərinə bitirəcəyə vəxudda planlaşdırılır,0.75,0.2183,9.78
8,əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər,albəxt də bu ənəni xristiyan dini baxımından izahı var amma bu xristiyanlıqdan əvvəl olan baharın gərişi və məhsildəli səbəbillə də keşirlə bilər,0.4286,0.1233,11.82
9,yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir,yenə də şəngin zonası bu baxımdan bir qədə tək dövlət funqüsəsində malikdir,0.25,0.1447,5.22
10,bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır,bu tapındı həm də quşlə eləkilənin təkamil haqqında təsəbür yaratır,0.6,0.1739,9.66
11,sundarban dünyanın ən böyük sahilyanı manqrov bölgəsidir və sahildən banqladeş və hindistanın içərilərinə doğru 80 km 50 mil uzanır,sundarban dünyanın ən böyük sahiliyanı mangurov bölgəsidir və sahildən bangaladır və hindistanın inşərlərinə doğru 60 km 50 mil uzanır,0.2632,0.084,10.2
12,o bütün bu şayiələri siyasi boşboğazlıq və axmaqlıq adlandırdı,o bütün bu şayələri siyasi boş bağızlıq və ahmulqlıq adlandırırdı,0.5556,0.1452,8.34
13,mərasimin italiyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində xüsusilə də polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı,mərasımin italyanın bir çox digər şəhərlərində və dünyanın qalan isəsində xüsusilə də polşada geniş insan köçlərə tərəfindən izlənməsi üzün həmin yerlərə enişəkildə nəhək əqraqınlar quraşdırılırdı,0.4074,0.1133,13.2
14,filippinli fotoqraflar kimi uşaqlar və yaşlılar da daxil 6 əsr sərbəst buraxıldı,fülifbinin fotograflar kimi uşaqlar və yaşlılar da daxil 6 esir sərbəz bırakıldı,0.4167,0.15,10.38
15,qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yeməkiçmək və əyləncə təklif edirlər,qonqlara rüq hüqsəkləyini qorumak və onların həmin yeri də qonqlanmasını təmin etmək üçün onlar adətən xüsusi gəmək içmək və ələncə təklif edirlər,0.5,0.1284,13.56
16,dünən axşam buenos airesdən 50 km 31 mil məsafədə yerləşən la plata şəhərində hazırki senator və argentinanın birinci xanımı kristina fernandez de kirçner prezidentliyə namizədliyini elan etdi,dünən akşam buena sairesdən 50 km 31mil məsafədə yerləşən laplata şəhərində hazırki senatır varginsinə 1 qanımı kristina fernandızda kirşınır prezidentliyə namizətliyini eyalan etti,0.6667,0.1719,14.16
17,mövcud bütün resurslardan bir qurumun funksional departamentlərində effektiv bir şəkildə istifadə olunursa yaradıcılıq və ustalıq ortaya çıxa bilər,mövcud bütö resurslardan bir qurumun funksiyonal departmetlərində effektib bir şəkildə istifadə olunursa yaratıcılık və əbustalığı ortaya çıxabilər,0.4444,0.0884,12.54
